Age,Gender,Location,EducationLevel,ClickThroughRate,Impressions,EngagementTime,BounceRate,AdType,ContentTopic,AdSize,PurchaseHistory,BrowsingBehavior,SiteNavigationPatterns,TimeOfDay,DeviceUsed,InternetBrowser
62,Female,London,Secondary,0.7057804229844352,6319,155,0.0977992667178742,Video,Food,Large,High,Rare,Complex,Evening,Tablet,Edge
18,Male,London,Secondary,0.6214276873514643,4325,243,0.607548945297341,Text,Sports,Medium,Medium,Frequent,Simple,Evening,Tablet,Chrome
21,Female,Manchester,Secondary,0.9648820793397025,5341,275,0.3678443386510687,Text,Fashion,Medium,Medium,Frequent,Complex,Night,Mobile,Opera
21,Male,Glasgow,Secondary,0.6464559113657224,3069,74,0.9957141910034085,Text,Sports,Small,High,Moderate,Simple,Afternoon,Mobile,Opera
57,Male,Birmingham,Post-secondary,0.14131404979592044,6530,271,0.820659020038398,Image,Sports,Small,Medium,Moderate,Complex,Morning,Tablet,Opera
27,Other,London,Secondary,0.16121821329251806,1211,72,0.9264784449316783,Text,Sports,Large,High,Moderate,Moderate,Night,Desktop,Firefox
37,Other,Manchester,Post-secondary,0.09306714007783212,4984,9,0.1804632918399286,Text,Food,Medium,None,Frequent,Complex,Afternoon,Desktop,Firefox
39,Female,Birmingham,Post-secondary,0.191173764997013,5013,185,0.6247302916366014,Image,Food,Large,Low,Rare,Complex,Morning,Mobile,Edge
54,Other,Birmingham,Post-secondary,0.597950900679121,5100,65,0.02787741540551636,Video,Fashion,Medium,Medium,Rare,Complex,Morning,Desktop,Opera
41,Male,Birmingham,Secondary,0.8382864750148153,4516,227,0.7351423202400316,Video,Sports,Medium,Medium,Rare,Moderate,Afternoon,Tablet,Firefox
24,Female,Leeds,Secondary,0.8938676520674573,6150,16,0.04222165222392127,Image,Fashion,Small,Medium,Moderate,Complex,Morning,Mobile,Opera
42,Female,Birmingham,Post-secondary,0.40004388668504853,9986,65,0.6740795417269506,Text,Food,Large,Medium,Frequent,Complex,Evening,Mobile,Chrome
42,Female,Birmingham,Secondary,0.5585830285872317,6090,146,0.21236884535128964,Image,Sports,Medium,Medium,Moderate,Moderate,Night,Tablet,Edge
30,Female,Manchester,Secondary,0.8091995921508134,4361,145,0.591190988408334,Image,Fashion,Medium,High,Moderate,Moderate,Evening,Mobile,Safari
19,Other,Glasgow,Secondary,0.3120705211951691,6010,231,0.2759746873859379,Image,Travel,Medium,Low,Moderate,Moderate,Night,Tablet,Opera
56,Female,Leeds,Secondary,0.5956690044386951,2721,134,0.022402813798596766,Video,Sports,Medium,Medium,Rare,Simple,Evening,Tablet,Edge
57,Male,Manchester,Post-secondary,0.17408251105366568,6542,57,0.6855370491014435,Image,Travel,Large,Low,Rare,Simple,Afternoon,Desktop,Opera
41,Female,Manchester,Secondary,0.4765403405180947,6159,127,0.4486591441719292,Text,Travel,Medium,High,Rare,Moderate,Morning,Desktop,Safari
64,Other,Birmingham,Secondary,0.17307226036346834,9436,12,0.7242306625065876,Video,Technology,Large,High,Moderate,Moderate,Morning,Mobile,Edge
42,Male,Leeds,Post-secondary,0.46242639029914556,8721,151,0.05628449839196492,Video,Sports,Medium,Medium,Moderate,Simple,Afternoon,Tablet,Opera
35,Other,Glasgow,Secondary,0.3968196917675796,9769,155,0.5302034215504031,Text,Fashion,Small,Low,Frequent,Moderate,Evening,Mobile,Safari
55,Other,Glasgow,Post-secondary,0.43326482350049333,6393,291,0.054266394648734284,Video,Fashion,Medium,None,Rare,Moderate,Afternoon,Tablet,Edge
43,Other,Manchester,Post-secondary,0.243712226106518,6441,182,0.14384704566014284,Text,Fashion,Small,Medium,Moderate,Complex,Evening,Mobile,Edge
31,Other,Leeds,Post-secondary,0.13604334237850613,1679,245,0.7844132574359453,Text,Travel,Small,High,Frequent,Simple,Evening,Mobile,Edge
26,Female,Manchester,Secondary,0.2756653279198856,9698,142,0.22867230474585065,Image,Sports,Medium,Low,Moderate,Simple,Afternoon,Mobile,Chrome
27,Other,Manchester,Secondary,0.23958003924390914,635,142,0.09332351731567312,Video,Technology,Medium,None,Moderate,Simple,Night,Desktop,Chrome
38,Female,Glasgow,Secondary,0.7342962025844497,9484,167,0.14180871772763115,Image,Food,Medium,High,Moderate,Simple,Night,Tablet,Chrome
